Zaman,Başlangıç,Bitiş,Mesafe (m),Gerçek Süre (sn),Serbest Süre (sn),Gecikme Oranı,Tahmin Süre (sn),Tahmin Sınıfı,MAE (sn)
2025-10-31 18:15:55,Gaziantep Üniversitesi,"Binevler, Gaziantep",5256,1042,817,1.2753977968176256,0.0,Düşük,1042.0
2025-10-31 18:15:57,Gaziantep Üniversitesi,"Binevler, Gaziantep",5367,1028,689,1.4920174165457183,20.84,Orta,1024.58
2025-10-31 18:21:20,"Şelale Park, Gaziantep","Defa Life Hastanesi , Gaziantep ",1146212,37239,37383,0.9961479817029132,402591.1927479738,Orta,122467.11758265791
2025-10-31 18:29:08,"Şelale Park, Gaziantep","Defa Life Hastanesi , Gaziantep ",1146212,37224,37383,0.9957467297969664,3760.771360280086,Orta,100216.1453469234
2025-10-31 19:53:46,Gaziantep Üniversitesi,Sanko AVM,0,0.0,1.0,0.0,-1387.92,Düşük,Düşük,1387.92
2025-10-31 21:38:03,Gaziantep Otogar,Osmaniye Otogar,0,0.0,1.0,0.0,-1387.92,Düşük,Düşük,1387.92
2025-10-31 21:42:54,Gaziantep Otogar,Osmaniye Otogar,0,0.0,1.0,0.0,-1387.92,Düşük,Düşük,1387.92
2025-10-31 21:45:34,"Gaziantep Üniversitesi , Gaziantep","Şelale PArk , Gaziantep ",1109238,34111,33907,1.0060164567788363,5227.334626550017,Düşük,10553.16660100489
2025-10-31 21:47:41,"Gaziantep , Gaziantep Üniversitesi","Gaziantep , Şelale PArk ",1109238,34111,33907,1.0060164567788363,9131.714635086639,Düşük,14159.696291982007
2025-10-31 21:48:27,"Gaziantep , Gaziantep Üniversitesi","Gaziantep , Şelale PArk ",1109238,34105,33907,1.005839502167694,10276.24913311214,Düşük,16093.507206963177
2025-10-31 21:50:17,"Gaziantep , Gaziantep Üniversitesi","Gaziantep , Şelale PArk ",1114568,34115,33959,1.004593774846138,11109.842269550249,Düşük,17245.448960877606
2025-10-31 21:58:59,Gaziantep Üniversitesi,Sanko AVM,6335,653,622,1.04983922829582,-2217.081071648522,Düşük,2870.081071648522
2025-10-31 21:59:57,Gaziantep Üniversitesi,Gaziantep Kalesi,60409,4121,3931,1.0483337573136606,-135.83768101174792,Düşük,3563.459376330135
2025-10-31 22:00:24,"Gaziantep Üniversitesi , Gaziantep","Gaziantep Kalesi , Gaziantep",8553,989,943,1.048780487804878,1983.3841295842417,Düşük,2707.1009607481706
2025-10-31 22:01:19,"Gaziantep Üniversitesi , Gaziantep","Akkent Spor Köyü , Gaziantep",7040,902,861,1.0476190476190477,1809.2393654857865,Düşük,2257.1355619325745
2025-10-31 22:01:52,"Gaziantep Üniversitesi , Gaziantep","Defa Life Hastanesi , Gaziantep",1539,184,176,1.0454545454545454,1590.7800214043923,Düşük,2087.064453826938
2025-10-31 22:03:52,Gaziantep Üniversitesi,Sanko AVM,6335,683,622,1.0980707395498392,1658.672900743466,Düşük,975.672900743466
2025-10-31 22:04:12,Şelale Park,Gaziantep Üniversitesi ,882375,29474,28827,1.0224442363062407,12474.97513069523,Düşük,8987.348885024117
2025-10-31 22:04:26,Gaziantep Üniversitesi,Sanko AVM,6335,683,622,1.0980707395498392,1226.0130216818197,Düşük,543.0130216818197
2025-10-31 22:05:43,Gaziantep Üniversitesi,Sanko AVM,6335,683,622,1.0980707395498392,1312.696887982463,Düşük,629.6968879824631
2025-10-31 22:06:00,"Şelale Park, Gaziantep",Sanko AVM,7612,914,837,1.091995221027479,1437.7102948824972,Düşük,576.7035914324802
